dzr_sng_id,artist_name
209374,mc solaar
209376,mc solaar
209377,mc solaar
209378,mc solaar
209379,mc solaar
209381,mc solaar
209382,mc solaar
209383,mc solaar
209387,mc solaar
209389,mc solaar
249479,mc solaar
249480,mc solaar
249483,mc solaar
249484,mc solaar
249486,mc solaar
249491,mc solaar
249492,mc solaar
249495,mc solaar
249497,mc solaar
249499,mc solaar
15003614,mc solaar
15003615,mc solaar
15003618,mc solaar
15003619,mc solaar
15003622,mc solaar
15003624,mc solaar
15003626,mc solaar
15003627,mc solaar
15003628,mc solaar
15003629,mc solaar
267373,fauve
267376,fauve
267378,fauve
267379,fauve
267381,fauve
267383,fauve
267384,fauve
267386,fauve
267387,fauve
92172446,fauve
92172454,fauve
92172456,fauve
92172458,fauve
92172462,fauve
92172464,fauve
92172466,fauve
92172470,fauve
92172472,fauve
92172476,fauve
289119,chico buarque
289120,chico buarque
289122,chico buarque
289123,chico buarque
289124,chico buarque
289126,chico buarque
289131,chico buarque
289134,chico buarque
289135,chico buarque
4679970,chico buarque
4679971,chico buarque
4679972,chico buarque
4679973,chico buarque
4679974,chico buarque
4679975,chico buarque
4679976,chico buarque
4679977,chico buarque
4679978,chico buarque
4679979,chico buarque
5758552,chico buarque
5758553,chico buarque
5758554,chico buarque
5758555,chico buarque
5758556,chico buarque
5758557,chico buarque
5758558,chico buarque
5758560,chico buarque
5758562,chico buarque
5758563,chico buarque
10968119,chico buarque
10968120,chico buarque
10968121,chico buarque
10968122,chico buarque
10968123,chico buarque
10968124,chico buarque
10968126,chico buarque
10968127,chico buarque
10968128,chico buarque
10968129,chico buarque
10972620,chico buarque
10972624,chico buarque
10972629,chico buarque
10972631,chico buarque
10972632,chico buarque
10972635,chico buarque
10972641,chico buarque
10972643,chico buarque
10972644,chico buarque
10972646,chico buarque
11058967,chico buarque
11058968,chico buarque
11058969,chico buarque
11058970,chico buarque
11058971,chico buarque
11058972,chico buarque
11058973,chico buarque
11058976,chico buarque
11058977,chico buarque
11058978,chico buarque
16537790,chico buarque
16537792,chico buarque
16537795,chico buarque
16537800,chico buarque
