dzr_sng_id,artist
85400102,307256
4680773,285604
15378892,461576
74160848,5469031
7471501,310321
61338369,93059
406492322,184249
67671989,210081
78190694,1346826
49339891,1126526
46796981,1447458
6022762,428268
64118621,297540
63299460,1638347
6403370,215594
73998037,395726
15253732,283006
71693846,5290244
13320180,526197
349852721,884629
9370305,109624
75739191,379191
69465747,205413
141992525,101793
11321472,1255731
12001359,795524
12067757,468897
61653998,4065685
138856815,581998
11365173,1252272
10962792,401235
6052478,276797
11856306,93221
4567413,305714
400084212,1586390
32579781,80685
12930827,347877
143730266,1577888
65445934,160829
408766712,1602034
12893279,390440
10981814,260088
11345000,4377478
73882964,96825
63013505,4319419
82395416,5107712
11001160,93256
12026735,1228920
11345016,4377478
16739795,1132650
17640088,1301626
64853193,4095307
70981299,243142
89228951,1944641
12176549,826405
9137092,433432
14245139,275287
82621070,5298840
118610208,1331055
78298055,252459
4710914,317507
86094871,305351
98503672,5137210
43745801,116269
9976741,95632
85911713,1597884
9064851,1125790
125823243,249452
81316846,6135406
4349547,299783
79223747,5915741
10961939,393271
108841740,991471
15402413,298143
12804090,100675
7313782,70342
105132418,343956
10579151,1225886
63093259,115814
81627648,2936241
30530401,482635
11587165,1255309
135981886,332515
8192392,193896
10963723,1246696
2529703,152214
130602446,493663
80978520,4486975
10776024,471456
74297399,5477697
99814858,1037751
10881110,1249109
78700168,287163
16784317,1639509
76602001,818101
85454890,215069
126730283,1072948
101054870,1281225
16070881,186662
71650479,10651675
10978696,260106
48931331,96816
76980359,4328355
79993030,1603945
108842870,991471
65464915,1166825
17473683,288166
8049409,882052
8341969,390440
101676035,1123108
110141344,1160957
11508937,412583
70988794,4318096
108343734,412877
66177523,4595272
72253642,282509
122994082,398091
68170830,321907
16781951,1603524
64734938,475964
66028228,146084
16781956,1636657
5501109,330167
63756035,633133
9003002,1121466
67908244,123595
14528554,1457495
4051982,277189
44247851,526127
67727591,325618
7940852,491097
36061201,132827
65619734,251657
98336212,1609392
131872804,5901721
99840458,7468528
12018787,190482
66726170,876582
83066832,1134840
388093181,1619987
134372102,97154
11010121,260101
118179532,1340770
11371866,399213
27153161,329207
124604750,98576
67161665,403646
17824809,149798
16781246,1636657
10944747,414925
13270125,193795
22720511,1538760
370851301,373965
70623203,876582
118554398,8213488
6900744,299665
15327285,1481181
60805618,4021057
4919011,181913
11318198,1079605
9014845,97385
15450487,145604
2894847,180159
17415066,1497696
10862763,1048746
68571251,614595
11526224,666009
11587171,1255309
129213616,197209
61662160,660621
13348479,98576
63846680,1329419
2963613,99572
65993156,108496
118997490,188220
15415707,298143
76298132,126814
18459021,1725721
14479356,1424407
13322984,315576
78840732,426250
88647471,305351
46720021,305706
5512098,275602
69743250,103239
8337040,390440
10978622,93203
43027331,9787164
61654010,4065685
11520104,745741
19526711,152214
16722140,1635075
105096182,11858451
20344731,311656
96044834,7606546
64114478,1363320
132751760,350039
6580431,292799
1014155,77359
95062998,405571
62522581,1236795
22500601,1613068
36951051,156376
15472046,244675
73026741,5326342
65464914,1166825
65993150,108496
65992919,127369
18039205,81109
77581288,290752
1029163,71547
388055271,3553711
69174182,80381
77163813,4375632
16770362,460395
21350321,1648863
3656752,180998
66192027,96908
36055761,1453374
63247394,493663
114795482,261687
54214051,343956
70071368,1222506
3016431,193896
81871350,321940
78636464,305714
10721759,457906
63963851,417657
89950439,134094
13263832,448690
71352899,84906
16266273,1603383
65928933,1227660
64034332,1658425
126959033,134666
89942729,95540
13493249,85656
58922111,493663
17780461,110689
111852848,1565912
136151388,4743482
12018471,190482
8284126,1068420
79222539,5915741
117229764,1385070
67133346,364807
89562751,166427
86604599,1346826
66027204,4585772
66027196,4585772
6403362,215594
124819020,249452
411765982,1526929
96430024,7616672
84503657,110588
69008812,3470601
79222213,5915741
16558913,292799
860169,71446
47294821,1617960
65995810,990135
7553848,263697
65936117,92563
2502628,81140
14869737,349064
17609081,196045
10305862,491374
375534371,1006542
69465745,205413
7092561,299815
4788403,293221
63773898,1238345
69484662,1706769
6558841,122996
10963301,158242
113495512,9125164
87302819,1063290
141105067,101793
13591158,1409021
65994189,78325
61338366,93059
8344108,1074000
68190477,3486941
18135628,475880
86094907,305351
388425371,3553711
63663661,3965381
78426788,1911061
93053524,321892
10016552,121681
130340576,1653514
61957113,518786
65600577,142879
16369033,333976
67670748,513088
99773076,1123108
17813143,155353
2545038,74354
136018882,1037751
358264901,4582034
20220691,182917
67908130,103489
47702841,1355084
47350051,795558
69008806,3470601
24487841,795558
10579172,1225886
121648214,6286234
