dzr_sng_id,artist_name
128973220,Biffy Clyro
14688295,Biffy Clyro
17044652,Biffy Clyro
17044654,Biffy Clyro
57631471,Biffy Clyro
128973218,Biffy Clyro
57631441,Biffy Clyro
14688294,Biffy Clyro
128973216,Biffy Clyro
128973208,Biffy Clyro
17044653,Biffy Clyro
128973214,Biffy Clyro
128973204,Biffy Clyro
128973358,Biffy Clyro
128973210,Biffy Clyro
17974503,Dashboard Confessional
53999051,Dashboard Confessional
17933767,Dashboard Confessional
53999031,Dashboard Confessional
13507957,Dashboard Confessional
17974505,Dashboard Confessional
53999131,Dashboard Confessional
17974508,Dashboard Confessional
137287792,Dashboard Confessional
137287810,Dashboard Confessional
137288166,Dashboard Confessional
17974500,Dashboard Confessional
137284446,Dashboard Confessional
17974504,Dashboard Confessional
137287800,Dashboard Confessional
114405930,Halo Of Flies
2008684,Halo Of Flies
114405974,Halo Of Flies
2008687,Halo Of Flies
2008696,Halo Of Flies
2008649,Halo Of Flies
2008691,Halo Of Flies
114405926,Halo Of Flies
2008633,Halo Of Flies
2008641,Halo Of Flies
2008678,Halo Of Flies
2008617,Halo Of Flies
2008663,Halo Of Flies
63741934,Halo Of Flies
2008627,Halo Of Flies
76421596,Billy Boy Arnold
65841263,Billy Boy Arnold
91161299,Billy Boy Arnold
66120248,Billy Boy Arnold
91161293,Billy Boy Arnold
91882824,Billy Boy Arnold
65841255,Billy Boy Arnold
66120251,Billy Boy Arnold
66120244,Billy Boy Arnold
66120246,Billy Boy Arnold
65841267,Billy Boy Arnold
65845817,Billy Boy Arnold
65845821,Billy Boy Arnold
65841254,Billy Boy Arnold
65841256,Billy Boy Arnold
11534477,DD/MM/YYYY
11534469,DD/MM/YYYY
11534476,DD/MM/YYYY
11534470,DD/MM/YYYY
16169343,DD/MM/YYYY
11534473,DD/MM/YYYY
11534474,DD/MM/YYYY
11534475,DD/MM/YYYY
11534465,DD/MM/YYYY
16169348,DD/MM/YYYY
11534467,DD/MM/YYYY
16169354,DD/MM/YYYY
11534468,DD/MM/YYYY
11534466,DD/MM/YYYY
11534471,DD/MM/YYYY
76437546,Los Manolos
1063158,Los Manolos
76437542,Los Manolos
76437550,Los Manolos
76437544,Los Manolos
76437549,Los Manolos
76437548,Los Manolos
70584630,Los Manolos
90263681,Los Manolos
76437543,Los Manolos
76437545,Los Manolos
1063394,Los Manolos
76437547,Los Manolos
76437551,Los Manolos
2468225,Los Manolos
124184488,Malkit Singh
11846932,Malkit Singh
11847181,Malkit Singh
138148183,Malkit Singh
11847175,Malkit Singh
11847179,Malkit Singh
11847174,Malkit Singh
124184492,Malkit Singh
11846933,Malkit Singh
12353684,Malkit Singh
12353687,Malkit Singh
86210465,Malkit Singh
11846931,Malkit Singh
11847178,Malkit Singh
11847176,Malkit Singh
99090492,Soundgarden
78861381,Soundgarden
136338164,Soundgarden
89825211,Soundgarden
89825159,Soundgarden
136338158,Soundgarden
136338092,Soundgarden
78800970,Soundgarden
78861400,Soundgarden
